home_score,home_wins,home_losses,home_fgm,home_fga,home_3pm,home_3pa,home_ftm,home_fta,home_oreb,home_dreb,home_treb,home_ast,home_blk,home_to,home_pf,home_poss,away_score,away_wins,away_losses,away_fgm,away_fga,away_3pm,away_3pa,away_ftm,away_fta,away_oreb,away_dreb,away_treb,away_ast,away_blk,away_to,away_pf,away_poss,winner
71,5,18,24,56,6,18,17,23,10,25,4,11,5,16,19,57,82,21,5,30,60,7,18,16,23,12,23,3,15,3,16,23,62,away
82,4,1,30,63,6,20,15,23,12,28,2,16,5,13,23,62,68,3,2,25,56,7,19,11,16,9,21,2,13,2,11,15,54,home
77,10,14,28,64,7,22,15,22,14,26,3,14,4,14,20,58,66,12,12,22,53,8,21,14,19,9,24,3,11,3,12,17,50,away
69,2,5,27,64,8,23,8,13,13,26,4,14,2,13,21,57,71,5,4,25,53,8,20,12,18,10,26,4,15,3,15,18,56,home
69,5,24,25,61,5,16,13,20,12,23,3,11,2,14,19,57,71,13,15,25,59,6,18,15,22,12,22,4,11,2,14,20,55,home
76,8,3,27,56,7,17,16,24,11,25,3,14,4,14,18,57,82,9,2,29,58,9,21,16,23,12,27,3,16,3,14,22,58,away
73,20,11,25,54,9,25,15,19,8,26,3,15,4,12,17,55,78,18,14,28,58,8,23,14,19,10,24,2,14,3,12,18,57,home
77,2,6,26,58,8,26,17,25,10,26,3,16,3,17,24,60,71,2,5,26,61,7,24,13,20,14,26,5,16,5,13,20,54,home
70,17,11,26,59,7,21,11,16,12,27,3,13,4,12,18,54,74,15,13,26,57,9,23,14,18,8,25,3,15,2,13,16,58,away
91,1,1,30,60,8,18,23,30,9,29,4,16,4,13,19,63,66,1,1,21,61,5,23,19,28,9,25,5,7,4,8,16,49,away
78,16,6,28,62,8,22,14,19,11,28,1,13,7,12,17,59,85,16,6,31,64,9,24,15,22,13,27,3,16,5,13,18,61,away
67,4,3,23,54,6,20,15,20,10,22,4,14,2,16,15,55,82,5,2,30,60,6,17,16,25,13,27,3,13,2,14,20,60,away
69,4,6,23,61,6,19,17,25,14,28,3,11,1,12,23,51,76,7,3,27,55,7,17,14,22,8,28,2,14,4,14,21,60,away
72,4,5,25,54,8,23,13,18,8,22,4,11,2,14,17,57,65,1,7,23,62,6,17,14,21,12,21,3,11,3,17,21,57,home
75,6,14,26,61,8,21,15,21,12,26,4,13,5,13,19,56,81,12,8,28,61,10,25,15,21,11,23,3,18,2,14,20,60,home
78,5,2,28,60,6,21,15,21,12,29,3,14,4,15,18,60,79,5,1,28,56,7,20,16,21,8,30,3,16,4,14,18,60,away
71,6,11,25,58,8,26,12,17,9,26,3,14,3,14,20,58,83,12,8,28,65,9,24,18,26,12,26,3,13,4,11,18,58,home
66,1,3,22,63,5,19,17,23,14,24,4,10,2,11,22,49,88,4,1,30,61,10,26,18,23,10,31,1,17,6,14,23,63,away
77,14,3,27,56,8,21,15,20,9,23,2,14,3,10,19,56,77,13,3,27,58,7,21,16,23,12,27,4,15,3,12,19,55,home
76,2,2,26,61,12,31,11,17,9,27,4,14,3,13,18,59,73,1,3,26,62,11,29,10,15,9,26,3,13,2,14,18,60,home
75,3,5,26,57,5,14,17,24,11,24,4,12,7,15,19,57,82,4,5,29,63,9,22,15,21,11,27,3,16,5,14,21,63,away
68,8,8,23,52,8,24,14,19,8,27,3,14,3,15,18,55,94,13,2,35,68,8,22,17,23,16,29,3,20,6,12,17,63,away
102,2,0,32,73,11,34,27,34,18,40,4,12,6,9,16,58,74,0,1,23,59,10,28,18,27,6,34,7,11,0,24,32,69,home
76,11,19,26,56,7,19,18,25,9,27,3,13,2,15,22,58,65,12,17,23,55,8,23,11,15,9,23,3,12,3,13,19,53,away
92,0,1,30,71,9,28,23,27,6,29,1,14,7,9,27,67,63,2,0,23,52,3,13,14,18,9,36,3,9,2,14,19,53,home
77,10,6,27,58,7,19,16,24,11,26,3,15,4,14,18,57,87,15,1,29,58,8,20,20,25,10,30,3,18,4,13,17,60,home
74,11,3,27,57,6,18,14,20,13,27,3,12,4,13,16,54,82,14,2,29,62,10,25,14,16,11,26,3,18,4,9,15,57,away
77,13,11,26,57,8,22,17,23,10,26,3,15,3,12,17,55,77,16,9,27,57,9,23,14,20,11,25,4,16,5,12,16,55,home
76,13,6,27,61,9,26,13,20,10,30,4,16,3,12,18,59,77,9,8,25,58,7,22,20,26,11,25,3,13,3,14,21,57,home
73,19,9,26,54,6,17,16,22,8,24,3,12,2,13,19,56,70,16,11,24,54,7,20,15,22,9,24,3,14,2,14,20,54,home
61,0,1,22,56,4,18,13,18,10,19,2,12,8,22,21,61,60,0,1,23,55,8,24,6,12,5,27,4,10,1,13,20,57,away
77,17,10,28,59,7,18,15,21,12,26,4,12,4,13,20,56,71,11,16,26,58,6,17,13,20,10,25,3,11,2,11,17,54,home
80,1,3,28,61,5,15,19,27,14,27,3,14,1,15,19,58,67,1,3,26,62,6,18,10,16,14,24,5,13,3,14,19,56,home
68,10,9,24,53,4,11,17,24,9,26,3,13,3,12,20,52,82,15,4,28,61,9,23,17,24,13,28,5,17,4,12,20,56,away
73,22,9,25,58,7,20,16,22,11,26,2,14,6,11,17,53,73,25,7,27,58,9,25,11,17,9,24,2,15,3,9,16,55,away
63,9,15,22,54,7,25,11,15,6,23,3,14,3,13,16,55,73,10,14,26,63,8,25,14,21,9,28,3,14,3,10,15,56,away
69,7,18,24,60,8,24,14,20,12,27,3,14,2,14,18,55,74,12,13,26,59,8,21,14,19,10,24,2,13,3,11,22,55,away
72,6,9,25,62,8,25,13,20,10,28,4,13,4,13,22,58,72,11,4,25,58,9,23,13,19,11,27,3,14,5,13,19,55,away
69,15,14,24,54,7,17,15,20,10,25,3,13,3,13,17,53,75,17,13,27,56,6,16,15,24,11,26,3,14,3,15,20,58,away
81,21,10,30,60,7,19,15,20,11,28,3,15,3,15,18,62,76,7,24,28,64,10,29,10,14,11,23,3,14,3,12,18,59,home
72,6,20,27,65,7,22,11,18,13,23,4,14,3,13,20,58,69,14,13,24,57,7,20,14,21,10,28,3,11,5,14,21,56,home
67,1,1,23,51,6,17,15,24,7,23,3,14,2,11,17,51,61,0,3,22,59,5,17,12,19,14,25,5,11,2,17,21,53,home
85,21,4,29,61,9,24,18,24,13,27,3,18,4,14,19,59,66,14,12,24,54,6,19,13,20,11,24,3,14,3,14,16,51,home
72,8,14,26,59,8,22,13,18,11,23,4,11,3,14,18,57,73,16,6,26,58,9,23,11,17,8,25,3,13,5,11,17,57,away
76,5,11,28,64,5,17,16,20,11,28,3,14,4,13,21,60,61,2,16,22,55,5,17,11,16,11,21,4,10,3,16,17,54,home
81,11,6,28,61,9,25,16,21,11,24,3,18,2,14,20,60,69,5,12,24,56,8,24,13,19,8,24,4,12,3,14,20,56,home
86,11,2,31,64,8,20,17,23,13,31,3,18,5,14,15,62,79,7,5,27,56,8,20,18,23,11,24,2,13,4,14,19,56,home
69,10,13,25,53,7,19,13,19,7,24,2,14,3,14,22,57,76,9,13,26,59,7,19,18,26,13,25,4,14,3,16,20,57,home
73,12,11,26,55,6,18,16,23,11,25,3,15,4,14,20,54,75,17,7,27,58,7,19,15,22,10,23,3,12,5,14,19,57,home
66,1,10,23,59,8,23,11,16,9,21,3,13,2,14,20,57,70,2,8,25,59,6,18,14,20,12,25,3,11,4,16,20,57,away
78,1,5,28,62,8,22,14,24,9,22,3,13,2,13,25,61,81,4,3,29,64,6,19,18,23,13,23,3,12,5,13,22,60,away
84,12,2,31,65,9,25,12,18,13,22,3,15,3,11,20,61,77,8,6,28,62,9,27,10,17,11,28,3,16,3,13,18,59,home
78,13,18,27,60,9,25,14,22,13,27,4,13,4,16,19,59,78,17,14,27,57,10,25,14,20,9,24,3,14,2,13,19,57,home
77,26,7,28,59,9,22,14,19,12,27,3,15,3,12,21,56,78,22,10,28,60,7,22,15,21,11,27,3,15,3,12,17,57,home
